"Poraba obnovljivih virov energije in odpadkov po: ENERGETSKI VIR, VRSTA"
"RABE , LETO"

" ";"Skupaj";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Geotermalna in toplota iz okolice (TJ)";-;-;-;-;-;-;-;265.000;1161.000;1239.000;1321.000;1488.000;1548.000;1654.000;1878.000;2048.124
"Solarna termièna (TJ)";-;-;-;-;-;-;-;319.000;341.000;374.000;409.000;437.000;452.000;456.000;458.000;458.000
"Industrijski odpadki - neobnovljivi (TJ)";3.000;366.000;435.000;542.000;668.000;535.000;608.000;828.000;975.000;1228.000;1333.000;1453.000;1809.000;1802.000;1876.000;2138.900
"Les in druga trdna biomasa (TJ)";17815.000;19000.000;19390.000;19656.000;18787.000;17955.000;19626.000;25399.000;25917.000;25815.000;24642.000;25795.000;22300.000;24708.000;25478.000;24769.895
"Deponijski plin (TJ)";181.000;221.000;241.000;253.000;288.000;317.000;344.000;349.000;324.000;298.000;287.000;297.000;272.000;211.000;153.000;78.768
"Plin iz èistilnih naprav (TJ)";33.000;20.000;37.000;31.000;47.000;25.000;130.000;126.000;117.000;113.000;130.000;117.000;109.000;102.000;92.000;86.761
"Drugi bioplini (TJ)";-;-;-;-;18.000;158.000;115.000;462.000;832.000;1095.000;1180.000;1040.000;909.000;930.000;1018.000;910.942
"Biodizel (TJ)";-;-;-;-;171.000;545.000;932.000;1169.000;1752.000;1312.000;1919.000;2211.000;1563.000;1012.000;634.000;1473.432
"Biobencin (TJ)";-;-;-;-;-;33.000;99.000;104.000;163.000;206.000;258.000;306.000;329.000;277.000;178.000;354.841

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine:  "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8167 target=_blank) Metodološka pojasnila"

"Toplota iz okolice vkljuèuje aerotermalno, hidrotermalno ali "
"geotermalno energijo, ki se izkorišèa s pomoèjo toplotnih èrpalk, ne "
"vkljuèuje pa energije, ki se uporablja za pogon toplotnih èrpalk "
"(elektrika ipd.)."

