"Prebivalstvo po: STATISTIÈNA REGIJA , IZOBRAZBA"

" ";"Višja izobrazba";"Visoka  dodiplomska izobrazba";"Visoka podiplomska izobrazba"
"SLOVENIJA";84044;114630;16388
"Pomurska";3920;3923;373
"Podravska";13567;14923;2083
"Koroška";2787;2955;277
"Savinjska";9729;10853;1048
"Zasavska";1719;1805;142
"Spodnjeposavska";2312;2693;249
"Jugovzhodna Slovenija";4779;5820;590
"Osrednjeslovenska";24452;44213;8748
"Gorenjska";8462;11658;1436
"Notranjsko-kraška";2094;2281;193
"Goriška";4849;6606;581
"Obalno-kraška";5374;6900;668

"Vir:Statistièni urad Republike Slovenije, Popis prebivalstva,  "
"gospodinjstev in stanovanj 2002.  "
"Uporaba in objava podatkov dovoljena le z navedbo vira.  "

